Name on Show,Full Profile Name,Chinese Name,Company,Company English,Company Chinese,Judges Evaluation 1,Judges Evaluation 2,Judges Evaluation 3,Ranking Ep 2,Ranking Ep 4,Ranking Ep 6,Live Voting Ranking Ep 7,Ranking Ep 9 + 10,Ranking Ep 12,Live Voting Ranking Ep 13,Ranking Ep 16
Vicky Wei,Vicky Wei Chen,魏辰,Shinning Star Culture(曜星文化),Shinning Star Culture,曜星文化,B,D,B,53,50,46,55,52,50,22,46
Lil Reta,Lil Reta Fu Jia,符佳,Yizong Cultural(一综星船),Yizong Cultural,一综星船,A,F,F,88,104,72,95,75,,,
Jessie Fu,Jessie Fu Yaning,符雅凝,Gramarie Entertainment(果然娱乐),Gramarie Entertainment,果然娱乐,C,D,D,37,37,43,47,54,52,35,53
Gia Ge,Gia Ge Xinyi,葛鑫怡,Gramarie Entertainment(果然娱乐),Gramarie Entertainment,果然娱乐,C,D,B,41,21,22,68,26,35,54,29
Dolly Zhang,Dolly Zhang Luofei,张洛菲,Gramarie Entertainment(果然娱乐),Gramarie Entertainment,果然娱乐,D,D,D,71,68,76,54,79,,,
Marco Lin,Marco Lin Fan,林凡,TOV Entertainment(TOV娱乐),TOV Entertainment,TOV娱乐,C,A,C,11,18,20,4,20,27,38,25
K Lu,K Lu Keran,陆柯燃,TOV Entertainment(TOV娱乐),TOV Entertainment,TOV娱乐,B,C,C,7,7,10,29,12,14,24,13
Hzel Chen,Hazel Chen Yiwen,陈艺文,TOV Entertainment(TOV娱乐),TOV Entertainment,TOV娱乐,C,F,C,51,67,81,93,83,,,
Ju Chen,Ju Chen Pinxuan,陈品瑄,TPG Culture(TPG文创),TPG Culture,TPG文创,B,B,C,73,66,69,15,53,41,60,47
Sharon Wang,Sharon Wang Chengxuan,王承渲,TPG Culture(TPG文创),TPG Culture,TPG文创,B,D,A,94,20,8,44,5,11,27,12
Sheen Wang,Sheen Wang Xinming,王心茗,TPG Culture(TPG文创),TPG Culture,TPG文创,C,F,D,108,54,68,97,72,,,
Theia Zheng,Theia Zheng Yuxin,郑玉歆,TPG Culture(TPG文创),TPG Culture,TPG文创,C,C,A,99,86,88,39,89,,,
NINEONE,NINEONE Nai Wan,乃万,WR / OC,WR / OC,,C,A,C,24,33,19,9,14,10,7,11
Bobo Li,Bobo Li Xining,李熙凝,Happy Jump Culture(祥跃文化),Happy Jump Culture,祥跃文化,F,F,Left the show,,,,,,,,
Vivi Chen,Vivi Chen Xinwei,陈昕葳,Yuehua Entertainment(乐华娱乐),Yuehua Entertainment,乐华娱乐,C,C,F,29,46,44,34,55,46,40,50
Aria Jin,Aria Jin Zihan,金子涵,Yuehua Entertainment(乐华娱乐),Yuehua Entertainment,乐华娱乐,C,C,C,19,29,27,32,21,9,10,9
Kay Song,Kay Song Zhaoyi,宋昭艺,Yuehua Entertainment(乐华娱乐),Yuehua Entertainment,乐华娱乐,C,B,B,47,63,53,10,49,33,47,39
Thea Xi,Thea Xi Ya,希娅,Yuehua Entertainment(乐华娱乐),Yuehua Entertainment,乐华娱乐,C,F,F,68,79,82,73,84,,,
Ree Ai,Ree Ai Yiyi,艾依依,Yuehua Entertainment(乐华娱乐),Yuehua Entertainment,乐华娱乐,C,F,D,35,59,60,81,68,,,
